,accuracy,0,1,2,3,4,5,6,7,8,9
k9,0.7,0.17717019822282987,0.29090909090909084,0.15789473684210523,0.20779220779220783,0.0,0.16623376623376626,0.0,0.0,0.0,
l9,0.4,0.36263736263736257,0.0,0.0,0.0,0.0,0.0,0.19078144078144083,0.0,0.44658119658119655,
m9,0.4,0.17999999999999997,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.21999999999999997,0.0,
n9,0.4,0.11752136752136755,0.0,0.2644230769230768,0.0,0.0763888888888889,0.0,0.45,0.0,0.09166666666666666,
o9,0.5,0.21999999999999997,0.0,0.1894736842105265,0.2605263157894736,0.09025641025641025,0.1222222222222222,0.11752136752136755,0.0,0.0,
p9,0.1,0.2917378917378917,0.0,0.41837606837606844,0.0,0.0,0.0,0.0,0.2898860398860399,0.0,
q9,0.4,0.0,0.0,0.1590909090909091,0.0,0.3982683982683983,0.0,0.3214285714285714,0.0,0.1212121212121212,
r9,0.6,0.0,0.1222222222222222,0.0,0.16041666666666665,0.18442460317460313,0.0,0.25029761904761916,0.1222222222222222,0.16041666666666665,
s9,0.7,0.27936507936507937,0.0,0.0,0.1222222222222222,0.1222222222222222,0.0,0.31250000000000006,0.1636904761904762,0.0,
t9,0.6,0.07129629629629629,0.0,0.2488095238095238,0.0,0.34425925925925915,0.1527777777777778,0.1828571428571429,0.0,0.0,
u9,0.4,0.13469387755102025,0.14965986394557826,0.0,0.0,0.0,0.0,0.4537414965986396,0.2619047619047619,0.0,
v9,0.4,0.2424242424242424,0.0,0.0,0.0,0.0,0.23809523809523814,0.15584415584415587,0.0,0.3636363636363636,
w9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8428571428571429,0.0,0.15714285714285714,
x9,0.3,0.1222222222222222,0.0,0.0,0.10888888888888897,0.14666666666666664,0.0,0.0,0.1470588235294118,0.4751633986928105,
y9,0.6,0.3522727272727273,0.0,0.0,0.13636363636363635,0.13636363636363635,0.0,0.375,0.0,0.0,
z9,0.3,0.06111111111111113,0.0,0.0,0.12222222222222219,0.0,0.34047619047619043,0.31250000000000006,0.0,0.16369047619047616,
a10,0.5555555555555556,0.2500000000000001,0.13392857142857142,0.18750000000000003,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
b10,0.2222222222222222,0.18701298701298696,0.0,0.0,0.0,0.0,0.0,0.16623376623376618,0.0,0.6467532467532469,0.0
c10,0.4444444444444444,0.0,0.0,0.0,0.0,0.21251475796930344,0.0,0.18701298701298696,0.27352647352647347,0.3269457814912361,0.0
d10,0.6666666666666666,0.35714285714285715,0.0,0.0,0.34285714285714286,0.0,0.0,0.15,0.0,0.0,0.15
e10,0.3333333333333333,0.2169642857142857,0.16874999999999998,0.35714285714285715,0.2571428571428572,0.0,0.0,0.0,0.0,0.0,0.0
f10,0.4444444444444444,0.19999999999999996,0.30250000000000005,0.0,0.0,0.0,0.0,0.22499999999999995,0.15999999999999992,0.0,0.11249999999999998
g10,0.3333333333333333,0.30769230769230776,0.0,0.0,0.3154326923076923,0.0,0.196875,0.0,0.0,0.17999999999999994,0.0
h10,0.5555555555555556,0.5071428571428571,0.15,0.0,0.3428571428571429,0.0,0.0,0.0,0.0,0.0,0.0
i10,0.6666666666666666,0.5043956043956044,0.0,0.0,0.0,0.0,0.0,0.3142857142857143,0.18131868131868129,0.0,0.0
j10,0.4444444444444444,0.20000000000000007,0.5142857142857141,0.0,0.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0
k10,0.5555555555555556,0.5913419913419913,0.0,0.19047619047619052,0.21818181818181814,0.0,0.0,0.0,0.0,0.0,0.0
l10,0.4444444444444444,0.5090909090909091,0.0,0.0,0.0,0.0,0.0,0.32215909090909084,0.0,0.16875,0.0
m10,0.3333333333333333,0.0,0.0,0.0,0.15,0.3708791208791208,0.0,0.30769230769230776,0.17142857142857143,0.0,0.0
n10,0.6666666666666666,0.3142857142857143,0.0,0.0,0.21818181818181814,0.0,0.0,0.28051948051948056,0.18701298701298696,0.0,0.0
o10,0.5555555555555556,0.5741071428571428,0.0,0.0,0.2571428571428572,0.0,0.0,0.16874999999999998,0.0,0.0,0.0
p10,0.4444444444444444,0.43116883116883115,0.0,0.21818181818181823,0.0,0.0,0.15584415584415584,0.0,0.19480519480519468,0.0,0.0
q10,0.6666666666666666,0.2857142857142858,0.5476190476190476,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
r10,0.5555555555555556,0.16666666666666669,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.5000000000000001,0.16666666666666669,0.0
s10,0.7777777777777778,0.5523809523809524,0.0,0.0,0.29761904761904756,0.0,0.0,0.15000000000000002,0.0,0.0,0.0
t10,0.5555555555555556,0.0,0.3846153846153847,0.0,0.0,0.0,0.43760683760683766,0.0,0.0,0.17777777777777776,0.0
u10,0.8888888888888888,0.19285714285714287,0.22857142857142862,0.0,0.257142857142857,0.18749999999999997,0.0,0.0,0.0,0.1339285714285714,0.0
